epoch,train_loss,val_loss,train_acc,val_acc,lr
1,3.7860329283727125,3.375393633606769,0.17426705532821346,0.2052183237028653,0.0007804226065180615
2,3.365188334768663,3.21880827022596,0.2198413588205617,0.23095252278548878,0.0007236067977499789
3,3.213742769352524,3.166761675714993,0.23735915690341386,0.24280693393697503,0.0006351141009169893
4,3.1067369218364425,3.061575303059567,0.2499159145692023,0.2458449991064514,0.000523606797749979
5,3.0130728769730024,3.0171621607283674,0.260643814115141,0.25942693751116935,0.00039999999999999996
6,2.9339960717299594,2.989544547556018,0.2701104321991143,0.25758027044737,0.00027639320225002103
7,2.857265736490087,2.956816465682403,0.279394865183026,0.26079704533269793,0.00016488589908301076
8,2.787819608230762,2.9495299995625426,0.28774034418969674,0.26091618514326564,7.639320225002105e-05
9,2.7347424094987023,2.9335916096719954,0.29502774819216326,0.2659796270923929,1.9577393481938583e-05
10,2.7051894320500804,2.929686795622677,0.299344133639778,0.26836242330374693,0.0
