run_id,timestamp_utc,experiment_name,experiment_tag,setting,model_class,architecture_notes,n_train_windows,n_val_windows,n_test_windows,final_train_loss,final_val_loss,accuracy,cross_entropy,perplexity,top5,checkpoint_file,hparams_json
20260428_012139__gru_baseline__v1,20260428_012139,gru_baseline,v1,raw_time,GRUNextToken,"GRU next-token model, leakage-safe split windows",308189,36253,44737,3.6212247212562847,3.6756590875999007,0.18722757449091357,3.6173720359802246,37.23957485462421,0.43284082526767553,04_gru_raw__20260428_012139__gru_baseline__v1.pt,"{""batch_size"": 64, ""dropout"": 0.2, ""embedding_dim"": 128, ""epochs"": 20, ""grad_clip_max_norm"": 1.0, ""hidden_dim"": 192, ""learning_rate"": 0.003, ""log_every"": 1, ""loss_fn"": ""CrossEntropyLoss"", ""model_class"": ""GRUNextToken"", ""num_layers"": 1, ""optimizer"": ""Adam"", ""seed"": 42, ""split_strategy"": ""file_level_from_sequence_cache_split_windows"", ""temperature_sampling"": 1.0, ""test_windows_quantized"": 41223, ""test_windows_raw"": 44737, ""train_windows_quantized"": 284941, ""train_windows_raw"": 308189, ""val_windows_quantized"": 33517, ""val_windows_raw"": 36253, ""vocab_size"": 5326, ""weight_decay"": 0.0001}"
20260428_012139__gru_baseline__v1,20260428_012139,gru_baseline,v1,quantized_time,GRUNextToken,"GRU next-token model, leakage-safe split windows",284941,33517,41223,2.7746783246786277,2.822602234723914,0.2802804259757902,2.7436580657958984,15.543741252389083,0.6385998107852412,04_gru_quantized__20260428_012139__gru_baseline__v1.pt,"{""batch_size"": 64, ""dropout"": 0.2, ""embedding_dim"": 128, ""epochs"": 20, ""grad_clip_max_norm"": 1.0, ""hidden_dim"": 192, ""learning_rate"": 0.003, ""log_every"": 1, ""loss_fn"": ""CrossEntropyLoss"", ""model_class"": ""GRUNextToken"", ""num_layers"": 1, ""optimizer"": ""Adam"", ""seed"": 42, ""split_strategy"": ""file_level_from_sequence_cache_split_windows"", ""temperature_sampling"": 1.0, ""test_windows_quantized"": 41223, ""test_windows_raw"": 44737, ""train_windows_quantized"": 284941, ""train_windows_raw"": 308189, ""val_windows_quantized"": 33517, ""val_windows_raw"": 36253, ""vocab_size"": 5326, ""weight_decay"": 0.0001}"
