setting,model,epoch,train_loss,val_loss,train_acc,val_acc,lr
quantized_time,transformer_custom,1,3.535365421263898,3.229859888098622,0.20460025057818987,0.2346868753170033,0.0009755282581475768
quantized_time,transformer_custom,2,3.192654345187074,3.1000693249338456,0.23897578797014118,0.24572604946743443,0.0009045084971874736
quantized_time,transformer_custom,3,3.0757675274232787,3.0522563148090858,0.2514204695007037,0.2523495539576931,0.0007938926261462366
quantized_time,transformer_custom,4,2.9886026370667245,2.979066090274403,0.259881870281918,0.2571829220992332,0.0006545084971874737
quantized_time,transformer_custom,5,2.9129057874471824,2.952629831456046,0.2684590845122324,0.2598382910164991,0.0005
quantized_time,transformer_custom,6,2.838654511434802,2.910490742166534,0.27764695147416485,0.2647313303696632,0.00034549150281252633
quantized_time,transformer_custom,7,2.7703875876961463,2.8825885648945815,0.28528712961630653,0.2696243697228272,0.0002061073738537635
quantized_time,transformer_custom,8,2.708720703915267,2.837410229308005,0.2934853180132027,0.2725482590924009,9.549150281252634e-05
quantized_time,transformer_custom,9,2.658169786688614,2.8292198231202046,0.30053590041447176,0.2725482590924009,2.4471741852423235e-05
quantized_time,transformer_custom,10,2.6250298306456368,2.8154474314842517,0.3046981655851562,0.2774711340513769,0.0
